actual_candidate_tokens,actual_character_count,actual_original_tokens,api_overhead_ms,api_overhead_ratio,bucket,case_id,concurrency,domain,error_rate,first_request_ms,gpu_utilization_percent,language,mode,model_load_ms,p50_ms,p95_ms,p99_ms,peak_ram_mb,peak_vram_mb,phase,process_start_ms,requests_per_second,sample_count,semantic_model_id,semantic_model_revision,timeout_rate
133,479,133,,,short,short-en,1,technical,0.0,3.198,,en,R1_direct_deterministic,,3.198,3.198,3.198,402.34,,cold,34.547,312.695,1,,,0.0
133,479,133,,,short,short-en,1,technical,0.0,,,en,R1_direct_deterministic,,2.698,4.013,4.027,402.484,,warm,,320.688,20,,,0.0
133,479,133,,,short,short-en,2,technical,0.0,,,en,R1_direct_deterministic,,3.034,18.469,21.078,402.496,,warm,,320.456,20,,,0.0
133,479,133,,,short,short-en,4,technical,0.0,,,en,R1_direct_deterministic,,3.546,11.091,18.567,402.496,,warm,,246.108,20,,,0.0
133,479,133,,,short,short-en,8,technical,0.0,,,en,R1_direct_deterministic,,2.591,4.759,14.784,402.496,,warm,,337.834,32,,,0.0
133,479,133,,,short,short-en,16,technical,0.0,,,en,R1_direct_deterministic,,2.824,16.916,25.429,402.562,,warm,,324.463,64,,,0.0
135,312,135,,,short,short-vi,1,business,0.0,1.91,,vi,R1_direct_deterministic,,1.91,1.91,1.91,402.566,,cold,29.476,523.56,1,,,0.0
135,312,135,,,short,short-vi,1,business,0.0,,,vi,R1_direct_deterministic,,1.94,2.154,2.202,402.566,,warm,,497.55,20,,,0.0
135,312,135,,,short,short-vi,2,business,0.0,,,vi,R1_direct_deterministic,,1.97,2.802,30.52,402.566,,warm,,452.018,20,,,0.0
135,312,135,,,short,short-vi,4,business,0.0,,,vi,R1_direct_deterministic,,2.047,3.59,13.617,402.57,,warm,,446.528,20,,,0.0
135,312,135,,,short,short-vi,8,business,0.0,,,vi,R1_direct_deterministic,,2.046,3.711,15.206,402.57,,warm,,423.544,32,,,0.0
135,312,135,,,short,short-vi,16,business,0.0,,,vi,R1_direct_deterministic,,1.813,6.083,13.681,402.625,,warm,,490.99,64,,,0.0
557,1951,557,,,medium,medium-en,1,technical,0.0,11.685,,en,R1_direct_deterministic,,11.685,11.685,11.685,402.676,,cold,31.023,85.58,1,,,0.0
557,1951,557,,,medium,medium-en,1,technical,0.0,,,en,R1_direct_deterministic,,10.948,11.882,12.728,402.695,,warm,,89.336,20,,,0.0
557,1951,557,,,medium,medium-en,2,technical,0.0,,,en,R1_direct_deterministic,,13.809,27.901,58.958,402.965,,warm,,85.909,20,,,0.0
557,1951,557,,,medium,medium-en,4,technical,0.0,,,en,R1_direct_deterministic,,12.869,74.451,89.369,403.496,,warm,,84.956,20,,,0.0
557,1951,557,,,medium,medium-en,8,technical,0.0,,,en,R1_direct_deterministic,,11.343,64.877,74.034,403.52,,warm,,93.712,32,,,0.0
557,1951,557,,,medium,medium-en,16,technical,0.0,,,en,R1_direct_deterministic,,21.823,73.573,89.606,403.574,,warm,,85.625,64,,,0.0
553,1312,553,,,medium,medium-vi,1,business,0.0,8.923,,vi,R1_direct_deterministic,,8.923,8.923,8.923,403.574,,cold,32.099,112.07,1,,,0.0
553,1312,553,,,medium,medium-vi,1,business,0.0,,,vi,R1_direct_deterministic,,8.155,9.549,10.08,403.598,,warm,,119.094,20,,,0.0
553,1312,553,,,medium,medium-vi,2,business,0.0,,,vi,R1_direct_deterministic,,9.219,24.595,38.516,403.574,,warm,,117.706,20,,,0.0
553,1312,553,,,medium,medium-vi,4,business,0.0,,,vi,R1_direct_deterministic,,8.462,42.724,55.157,403.574,,warm,,120.383,20,,,0.0
553,1312,553,,,medium,medium-vi,8,business,0.0,,,vi,R1_direct_deterministic,,9.27,40.527,42.911,403.621,,warm,,115.067,32,,,0.0
553,1312,553,,,medium,medium-vi,16,business,0.0,,,vi,R1_direct_deterministic,,8.662,55.534,86.009,403.574,,warm,,117.861,64,,,0.0
2059,7131,2059,,,long,long-en,1,technical,0.0,49.44,,en,R1_direct_deterministic,,49.44,49.44,49.44,403.574,,cold,31.206,20.227,1,,,0.0
2059,7131,2059,,,long,long-en,1,technical,0.0,,,en,R1_direct_deterministic,,43.393,45.921,47.943,403.594,,warm,,22.875,20,,,0.0
2059,7131,2059,,,long,long-en,2,technical,0.0,,,en,R1_direct_deterministic,,79.092,124.313,140.047,404.562,,warm,,22.669,20,,,0.0
2059,7131,2059,,,long,long-en,4,technical,0.0,,,en,R1_direct_deterministic,,103.646,343.563,733.793,406.609,,warm,,19.766,20,,,0.0
2059,7131,2059,,,long,long-en,8,technical,0.0,,,en,R1_direct_deterministic,,156.245,256.526,291.075,407.98,,warm,,22.299,32,,,0.0
2059,7131,2059,,,long,long-en,16,technical,0.0,,,en,R1_direct_deterministic,,250.498,646.06,840.022,412.809,,warm,,21.273,64,,,0.0
2063,4926,2063,,,long,long-vi,1,business,0.0,31.893,,vi,R1_direct_deterministic,,31.893,31.893,31.893,412.809,,cold,31.39,31.355,1,,,0.0
2063,4926,2063,,,long,long-vi,1,business,0.0,,,vi,R1_direct_deterministic,,32.581,35.669,37.567,412.816,,warm,,30.598,20,,,0.0
2063,4926,2063,,,long,long-vi,2,business,0.0,,,vi,R1_direct_deterministic,,62.879,79.669,97.983,412.809,,warm,,30.491,20,,,0.0
2063,4926,2063,,,long,long-vi,4,business,0.0,,,vi,R1_direct_deterministic,,65.699,172.709,190.002,412.832,,warm,,32.021,20,,,0.0
2063,4926,2063,,,long,long-vi,8,business,0.0,,,vi,R1_direct_deterministic,,79.709,175.914,181.964,412.812,,warm,,28.237,32,,,0.0
2063,4926,2063,,,long,long-vi,16,business,0.0,,,vi,R1_direct_deterministic,,110.024,353.983,471.306,412.812,,warm,,30.727,64,,,0.0
8212,28273,8212,,,very_long,very_long-en,1,technical,0.0,237.707,,en,R1_direct_deterministic,,237.707,237.707,237.707,412.812,,cold,28.392,4.207,1,,,0.0
8212,28273,8212,,,very_long,very_long-en,1,technical,0.0,,,en,R1_direct_deterministic,,236.321,314.661,327.331,412.848,,warm,,4.091,20,,,0.0
8212,28273,8212,,,very_long,very_long-en,2,technical,0.0,,,en,R1_direct_deterministic,,468.667,545.322,585.443,412.824,,warm,,4.224,20,,,0.0
